;dateConvention_ademe;nomBeneficiaire_ademe;montant_ademe;pourcentageSubvention_ademe;DEPET_ademe;naf1etlib_ademe;naf2etlib_ademe;naf3etlib_ademe;naf4etlib_ademe;naf5etlib_ademe;id_mt;environmentalTopics_mt;fundingTypes_mt;subventionRateUpperBound_mt;subventionRateLowerBound_mt;applicationStartDate_mt;result
127;2018-07-13;SOCIETE IMMOBILIERE DE LA MARTINIQUE;31128.6;1.0;97;Activités immobilières;Activités immobilières;Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Location de logements;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
128;2018-07-13;SOCIETE IMMOBILIERE DE LA MARTINIQUE;41349.0;1.0;97;Activités immobilières;Activités immobilières;Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Location de logements;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
129;2018-10-02;CTRE COM ACTION SOCIALE DE SOUSTONS;23380.0;1.0;40;Santé humaine et action sociale;Action sociale sans hébergement;Autre action sociale sans hébergement;Autre action sociale sans hébergement n.c.a.;Action sociale sans hébergement n.c.a.;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
130;2018-11-20;CA BERGERACOISE;65472.0;1.0;24;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
131;2018-11-19;METHA-PALMI-PORC;260000.0;1.0;24;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production, transport et distribution d'électricité;Production d'électricité;Production d'électricité;181;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:42+00:00;1
132;2019-05-22;ARTOTEL;37500.0;1.0;33;Hébergement et restauration;Hébergement;Hôtels et hébergement similaire;Hôtels et hébergement similaire;Hôtels et hébergement similaire;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
133;2019-11-14;DALKIA;27500.0;1.0;59;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
134;2018-10-25;LA BANQUE POSTALE;9923.0;1.0;75;Activités financières et d'assurance;Activités des services financiers, hors assurance et caisses de retraite;Intermédiation monétaire;Autres intermédiations monétaires;Autres intermédiations monétaires;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
135;2018-06-11;CONSEIL RESEAU TELE-INFORMATIQUE;5320.0;1.0;76;Information et communication;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Conseil informatique;Conseil en systèmes et logiciels informatiques;268;[{'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
136;2018-09-10;COMMUNAUTE D'AGGLOMERATION DU PAYS DE GEX;6562.5;1.0;01;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;266;[{'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
137;2019-07-22;DEPILATOCOSMETICS;50000.0;1.0;95;"Commerce ; réparation d'automobiles et de motocycles";Commerce de détail, à l'exception des automobiles et des motocycles;Commerce de détail hors magasin, éventaires ou marchés;Vente à distance;Vente à distance sur catalogue général;38;[{'name': 'Démarche écoconception', 'id': 5}];['Ingénierie technique'];;;2021-11-09T15:42:41+00:00;1
138;2020-11-27;PORFINS;107600.0;1.0;25;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Production animale;Élevage de porcins;Élevage de porcins;181;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:42+00:00;1
139;2019-11-13;REGION BRETAGNE;1134600.0;1.0;35;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
140;2019-10-10;COMMUNE DE ALLOUIS;11404.8;1.0;18;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;269;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
141;2019-05-17;COMMUNE DE LEVIE;35126.0;1.0;2A;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;267;[{'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
142;2019-09-12;LOCACIL;152652.3;1.0;68;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";"Collecte, traitement et élimination des déchets ; récupération";Récupération;Récupération de déchets triés;Récupération de déchets triés;185;[{'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}];['Subvention'];55.0;;2021-11-09T15:42:41+00:00;1
143;2020-05-14;SYNDICAT MIXTE DU PARC NATUREL REGIONAL DES CAPS ET MARAIS D'OPALE;125718.75;1.0;62;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique (tutelle) des activités économiques;Administration publique (tutelle) des activités économiques;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
144;2020-11-12;COMMUNE DE FOURMIES;135000.0;1.0;59;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
145;2020-10-15;GAEC SAINT DOMICE;90920.0;1.0;80;Agriculture, sylviculture et pêche;Culture et production animale, chasse et services annexes;Cultures non permanentes;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;267;[{'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
146;2019-07-02;SOCIETE DE PRODUCTION D'ELECTRICITE ET DE VAPEUR DU NORD ATLANTIQUE;20870.5;1.0;972;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production, transport et distribution d'électricité;Production d'électricité;Production d'électricité;181;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:42+00:00;1
147;2019-06-28;SARL LES BOUEIGES;227000.0;1.0;87;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production, transport et distribution d'électricité;Production d'électricité;Production d'électricité;181;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:42+00:00;1
148;2020-06-18;METHAJOOS;400000.0;1.0;64;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production, transport et distribution d'électricité;Production d'électricité;Production d'électricité;181;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:42+00:00;1
149;2019-10-21;RESEAU RECTO VERSO;23500.0;1.0;79;Autres activités de services;Activités des organisations associatives;Activités des organisations économiques, patronales et professionnelles;Activités des organisations professionnelles;Activités des organisations professionnelles;203;"[{'name': ""Réduction de l'empreinte carbone"", 'id': 3}]";['Subvention'];69.0;;2021-11-09T15:42:48+00:00;1
150;2020-06-04;BIOMETHABEARN;268000.0;1.0;64;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production, transport et distribution d'électricité;Production d'électricité;Production d'électricité;181;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:42+00:00;1
151;2020-05-29;CLEVIGUS;460000.0;1.0;87;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production, transport et distribution d'électricité;Production d'électricité;Production d'électricité;181;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:42+00:00;1
152;2020-02-27;COMMUNAUTE DE COMMUNES DU HAUT-POITOU;1850.0;1.0;86;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;395;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
153;2019-10-22;ASS EMMAUS ST GAUDENS FONDR ABBE PIERRE;18700.0;1.0;31;Santé humaine et action sociale;Hébergement médico-social et social;Autres activités d'hébergement social;Autres activités d'hébergement social;Hébergement social pour adultes et familles en difficultés et autre hébergement social;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
154;2019-11-27;SYNDICAT DEPARTEMENTAL D'ENERGIE ET D'EQUIPEMENT DE LA LOZERE (SDEE);243404.0;1.0;48;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production, transport et distribution d'électricité;Transport d'électricité;Transport d'électricité;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
155;2019-11-27;LA PLUME DU CAUSSE;31000.0;1.0;46;Activités spécialisées, scientifiques et techniques;"Activités des sièges sociaux ; conseil de gestion";Activités des sièges sociaux;Activités des sièges sociaux;Activités des sièges sociaux;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
156;2020-06-24;AGENCE DU SOLEIL;20000.0;1.0;11;Activités immobilières;Activités immobilières;Activités immobilières pour compte de tiers;Administration de biens immobiliers;Administration d'immeubles et autres biens immobiliers;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
157;2019-04-18;ASSOCIATION NOTRE DAME DU LAUS;11312.0;1.0;05;Autres activités de services;Activités des organisations associatives;Activités des autres organisations associatives;Activités des organisations religieuses;Activités des organisations religieuses;395;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
158;2019-07-17;OASIS POUR UNE VIE ECOLOGIQUE ET SOLIDAIRE;56469.0;1.0;05;Autres activités de services;Activités des organisations associatives;Activités des autres organisations associatives;Activités des organisations associatives n.c.a.;Autres organisations fonctionnant par adhésion volontaire;162;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
159;2020-10-20;ASSOCIATION HOPITAL ST JOSEPH MARSEILLE;177100.0;1.0;13;Santé humaine et action sociale;Activités pour la santé humaine;Activités hospitalières;Activités hospitalières;Activités hospitalières;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
160;2020-02-28;PROSERPINE;2940.0;1.0;49;Activités immobilières;Activités immobilières;Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Location de terrains et d'autres biens immobiliers;269;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
161;2019-11-29;NEWHEAT;2231880.0;1.0;33;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
162;2020-09-29;CONSTELLIUM ISSOIRE;242830.0;1.0;63;Industrie manufacturière;Métallurgie;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie de l'aluminium;Métallurgie de l'aluminium;163;[{'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
163;2020-04-26;METROPOLE GRENOBLE-ALPES-METROPOLE (METRO);283617.0;1.0;38;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
164;2020-04-26;METROPOLE DE LYON;218592.0;1.0;69;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
165;2020-11-27;SYNDICAT INTERCOMMUNAL D ENERGIES D EQUIPEMENT ET D ENVIRONNEMENT DE LA NIEVRE;217860.0;1.0;58;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique (tutelle) des activités économiques;Administration publique (tutelle) des activités économiques;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
166;2020-09-08;COMMUNE DE SELONCOURT;18683.0;1.0;25;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;267;[{'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
167;2020-11-23;SM D'ENERGIES EQUIPEMENTS ET COMMUNICATION DU JURA;167890.0;1.0;39;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique (tutelle) des activités économiques;Administration publique (tutelle) des activités économiques;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
168;2020-08-26;LE COIN D'AMONT;1680.0;1.0;39;Activités immobilières;Activités immobilières;Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Location de logements;395;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
169;2020-04-02;POLE D'EQUILIBRE TERRITORIAL ET RURAL DU PAYS DU CENTRE OUEST BRETAGNE;135240.0;1.0;22;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
170;2020-09-24;SYNDICAT MIXTE DU PARC NATUREL REGIONAL DE LA BRENNE;80000.0;1.0;36;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
171;2020-11-16;CBPAR1;10060.0;1.0;2B;Hébergement et restauration;Hébergement;Hôtels et hébergement similaire;Hôtels et hébergement similaire;Hôtels et hébergement similaire;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
172;2020-11-23;SOC CHAUFFE COMBUST REPAR APPAREIL MECAN;10127095.0;1.0;51;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;162;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
173;2020-06-16;MP BIOGAZ;3080.0;1.0;57;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production, transport et distribution d'électricité;Production d'électricité;Production d'électricité;268;[{'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
174;2020-06-17;CENTRE D'ETUDES ET D'EXPERTISE SUR LES RISQUES L'ENVIRONNEMENT LA MOBILITE ET L'AMENAGEMENT;42317.5;1.0;69;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique (tutelle) des activités économiques;Administration publique (tutelle) des activités économiques;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
175;2020-11-23;OFFICE PUBLIC DE L'HABITAT DU NORD;260204.0;1.0;59;Activités immobilières;Activités immobilières;Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Location de logements;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
176;2021-03-23;SYNDICAT MIXTE DES ORDURES MENAGERES DE LA VALLEE DE CHEVREUSE;400000.0;1.0;91;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";"Collecte, traitement et élimination des déchets ; récupération";Collecte des déchets;Collecte des déchets non dangereux;Collecte des déchets non dangereux;191;[{'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}];['Subvention', 'Autre aide financière'];55.0;;2021-11-09T15:42:42+00:00;1
177;2020-04-24;SYNDICAT INTERCOMMUNAL DE L ENTRE DEUX MERS OUEST POUR LA COLLECTE ET LE TRAITEMENT DES ORDURES MENAGERES;32000.0;1.0;33;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";"Collecte, traitement et élimination des déchets ; récupération";Collecte des déchets;Collecte des déchets non dangereux;Collecte des déchets non dangereux;203;"[{'name': ""Réduction de l'empreinte carbone"", 'id': 3}]";['Subvention'];69.0;;2021-11-09T15:42:48+00:00;1
178;2020-04-24;NOUVEL'R;38500.0;1.0;33;Autres activités de services;Activités des organisations associatives;Activités des organisations économiques, patronales et professionnelles;Activités des organisations patronales et consulaires;Activités des organisations patronales et consulaires;203;"[{'name': ""Réduction de l'empreinte carbone"", 'id': 3}]";['Subvention'];69.0;;2021-11-09T15:42:48+00:00;1
179;2020-06-23;FRANCOIS GIBERT DEVELOPPEMENT GESTION;92500.0;1.0;79;Activités financières et d'assurance;Activités des services financiers, hors assurance et caisses de retraite;Activités des sociétés holding;Activités des sociétés holding;Activités des sociétés holding;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
180;2020-06-26;SOFIVO;15680.0;1.0;50;Industrie manufacturière;Industries alimentaires;Fabrication d'aliments pour animaux;Fabrication d'aliments pour animaux de ferme;Fabrication d'aliments pour animaux de ferme;268;[{'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
181;2020-11-25;GRA.SA.SA;6402.0;1.0;24;"Commerce ; réparation d'automobiles et de motocycles";Commerce de gros, à l'exception des automobiles et des motocycles;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;267;[{'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
182;2021-03-01;GIP DU GRAND PROJET DES VILLES RIVE DROITE;38501.0;1.0;33;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique (tutelle) des activités économiques;Administration publique (tutelle) des activités économiques;203;"[{'name': ""Réduction de l'empreinte carbone"", 'id': 3}]";['Subvention'];69.0;;2021-11-09T15:42:48+00:00;1
183;2021-03-15;BERNARDAUD;15840.0;1.0;87;Industrie manufacturière;Fabrication d'autres produits minéraux non métalliques;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'articles céramiques à usage domestique ou ornemental;Fabrication d'articles céramiques à usage domestique ou ornemental;268;[{'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
184;2021-03-19;FEDERATION DEPARTEMENT DES CUMA DORDOGNE;24000.0;1.0;24;Activités spécialisées, scientifiques et techniques;"Activités des sièges sociaux ; conseil de gestion";Conseil de gestion;Conseil pour les affaires et autres conseils de gestion;Conseil pour les affaires et autres conseils de gestion;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
185;2020-11-09;DEPARTEMENT DE LA SEINE MARITIME;92600.0;1.0;76;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;203;"[{'name': ""Réduction de l'empreinte carbone"", 'id': 3}]";['Subvention'];69.0;;2021-11-09T15:42:48+00:00;1
186;2020-08-06;COMMINGES METAUX SERVICES;61600.0;1.0;31;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";"Collecte, traitement et élimination des déchets ; récupération";Récupération;Récupération de déchets triés;Récupération de déchets triés;40;[{'name': 'Développement de filières recyclage', 'id': 31}];['Subvention'];;;2021-11-09T15:42:41+00:00;1
187;2020-08-06;COMMINGES METAUX SERVICES;61600.0;1.0;31;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";"Collecte, traitement et élimination des déchets ; récupération";Récupération;Récupération de déchets triés;Récupération de déchets triés;40;[{'name': 'Développement de filières recyclage', 'id': 31}];['Subvention'];;;2021-11-09T15:42:41+00:00;1
188;2020-10-09;COMMUNE DE BLAGNAC;89760.0;1.0;31;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;270;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
189;2020-06-24;JOZIMMO;10000.0;1.0;31;Activités immobilières;Activités immobilières;Activités immobilières pour compte de tiers;Administration de biens immobiliers;Administration d'immeubles et autres biens immobiliers;275;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
190;2020-08-06;ARIANEGROUP SAS;9815.0;1.0;31;Industrie manufacturière;Industrie chimique;Fabrication d'autres produits chimiques;Fabrication de produits explosifs;Fabrication de produits explosifs;268;[{'name': 'Réseaux de chaleur & Récupération de chaleur', 'id': 12}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
191;2021-03-24;SYDED DU LOT;120000.0;1.0;46;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";"Collecte, traitement et élimination des déchets ; récupération";Traitement et élimination des déchets;Traitement et élimination des déchets non dangereux;Traitement et élimination des déchets non dangereux;162;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
192;2020-05-29;ASS DE LA MAISON DE RETRAITE;7329.0;1.0;49;Santé humaine et action sociale;Hébergement médico-social et social;Hébergement médicalisé;Hébergement médicalisé;Hébergement médicalisé pour personnes âgées;395;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];70.0;;2021-11-09T15:42:47+00:00;1
193;2021-02-16;LACME;5200.0;1.0;72;Industrie manufacturière;Fabrication d'équipements électriques;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique;Fabrication de moteurs, génératrices et transformateurs électriques;Fabrication de moteurs, génératrices et transformateurs électriques;161;"[{'name': ""Réduction de la consommation d'énergie"", 'id': 6}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}]";['Subvention'];70.0;;2021-11-09T15:42:41+00:00;1
194;2020-11-05;EHPAD ISAC DE ROHAN;16826.7;1.0;44;Santé humaine et action sociale;Hébergement médico-social et social;Hébergement médicalisé;Hébergement médicalisé;Hébergement médicalisé pour personnes âgées;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
195;2021-03-15;COMMUNAUTE DE COMMUNES DES COEVRONS;5600.0;1.0;53;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
196;2020-04-06;METROPOLE DE LYON;200000.0;1.0;69;Administration publique;"Administration publique et défense ; sécurité sociale obligatoire";Administration générale, économique et sociale;Administration publique générale;Administration publique générale;274;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:47+00:00;1
197;2020-03-11;SUD TRAITEMENT SERVICES;39375.0;1.0;97;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution";"Collecte, traitement et élimination des déchets ; récupération";Récupération;Récupération de déchets triés;Récupération de déchets triés;41;[{'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}];['Autre aide financière'];;;2021-11-09T15:42:41+00:00;1
198;2021-04-08;SARL L'EPINETTE;81016.0;1.0;89;Activités spécialisées, scientifiques et techniques;"Activités des sièges sociaux ; conseil de gestion";Activités des sièges sociaux;Activités des sièges sociaux;Activités des sièges sociaux;181;[{'name': 'Energies Renouvelables', 'id': 22}];['Subvention'];;;2021-11-09T15:42:42+00:00;1
199;2021-02-24;AXONE-SPADONE;5000.0;1.0;90;Industrie manufacturière;Fabrication de produits métalliques, à l'exception des machines et des équipements;Fabrication d'éléments en métal pour la construction;Fabrication de portes et fenêtres en métal;Fabrication de portes et fenêtres en métal;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
200;2021-04-13;NABOO;8000.0;1.0;21;Information et communication;Programmation et diffusion;Édition et diffusion de programmes radio;Édition et diffusion de programmes radio;Édition et diffusion de programmes radio;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
