;dateConvention_ademe;nomBeneficiaire_ademe;montant_ademe;pourcentageSubvention_ademe;DEPET_ademe;naf1etlib_ademe;naf2etlib_ademe;naf3etlib_ademe;naf4etlib_ademe;naf5etlib_ademe;id_mt;environmentalTopics_mt;fundingTypes_mt;subventionRateUpperBound_mt;subventionRateLowerBound_mt;applicationStartDate_mt;result
10;2021-03-26;DECOR WORLD SERVICES;5000.0;1.0;45;Activités spécialisées, scientifiques et techniques;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées de design;Activités spécialisées de design;Activités spécialisées de design;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
11;2021-04-07;LA CHAPELLE;5500.0;1.0;45;Activités spécialisées, scientifiques et techniques;"Activités des sièges sociaux ; conseil de gestion";Activités des sièges sociaux;Activités des sièges sociaux;Activités des sièges sociaux;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
12;2021-02-17;SODIPRO;5000.0;1.0;54;Industrie manufacturière;Industrie chimique;Fabrication de savons, de produits d'entretien et de parfums;Fabrication de savons, détergents et produits d'entretien;Fabrication de savons, détergents et produits d'entretien;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
13;2021-03-30;CTCI PRODUCTION;5000.0;1.0;67;Industrie manufacturière;Fabrication de produits en caoutchouc et en plastique;Fabrication de produits en plastique;Fabrication d'emballages en matières plastiques;Fabrication d'emballages en matières plastiques;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
14;2021-04-08;LIVEA SANITAIRE;5000.0;1.0;57;Transports et entreposage;Entreposage et services auxiliaires des transports;Entreposage et stockage;Entreposage et stockage;Entreposage et stockage non frigorifique;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
15;2021-03-30;JACQUES PREVOT ARTIFICES;15654.0;1.0;52;Arts, spectacles et activités récréatives;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Activités de soutien au spectacle vivant;Activités de soutien au spectacle vivant;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
16;2021-03-30;EURO CADRES;13650.0;1.0;52;Industrie manufacturière;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie";Fabrication d'articles en bois, liège, vannerie et sparterie;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
17;2021-03-30;SWA;7200.0;1.0;57;"Commerce ; réparation d'automobiles et de motocycles";Commerce et réparation d'automobiles et de motocycles;Commerce de véhicules automobiles;Commerce de voitures et de véhicules automobiles légers;Commerce de voitures et de véhicules automobiles légers;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
18;2021-03-30;ASSOCIATION DECIBULLES;5000.0;1.0;67;Arts, spectacles et activités récréatives;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts du spectacle vivant;Arts du spectacle vivant;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
19;2021-03-30;SAERT;5000.0;1.0;67;Construction;Génie civil;Construction de routes et de voies ferrées;Construction de ponts et tunnels;Construction d'ouvrages d'art;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
